record_id,name,region,region_source,city,partner_segment,entity_types,product_categories,channels,website,email,phone,nip,krs,injector_relevance,score,priority,potential,score_confidence,recommended_action
PL-0036,E-nilsen.pl,Mazowieckie,source_regions,Pruszków,manufacturer,distributor | manufacturer,vape,B2B,,,+48 22 487 70 88,,,unknown,32,D,low,low,enrich_record
PL-0037,E-papierosy.pl,Mazowieckie,source_regions,Ostrołęka,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,https://e-papierosy.pl/pl/?utm_medium=organic&utm_source=google_maps&utm_campaign=google_maps&utm_content=web_url,,+48 571 552 187,,,unknown,36,D,low,medium,enrich_record
PL-0038,E-Tabak,Nieustalony,unknown,,vape_wholesale,wholesaler,vape,B2B,https://www.e-tabak.pl,biuro@e-tabak.pl,178443665,1231543801,0001068075,unknown,32,D,low,medium,verify_location
PL-0039,Efekt Łódź,Łódzkie,source_regions,Łódź,traditional_or_specialist_wholesale,wholesaler,fmcg | tobacco,,https://efekt-lodz.pl,,,,,unknown,22,D,low,low,enrich_record
PL-0040,Elenpipe,Małopolskie,source_regions,Przemyśl,traditional_or_specialist_wholesale,retailer | wholesaler,smoking_accessories | ryo | injector_ecosystem | injector_machines | filters | tobacco | lighters,B2B | B2C,https://elenpipe.com,elenpipe.pl@gmail.com,+48 91 570 53 60,7952526523,,confirmed_or_core,70,B,high,high,sales_outreach
PL-0041,Elroy sp.j. Biuro handlowe,Kujawsko-pomorskie,source_regions,Włocławek,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,http://www.elroy.pl,,+48 54 231 17 10,,,unknown,34,D,low,medium,enrich_record
PL-0042,Elso,Nieustalony,unknown,,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,https://www.elso.pl,,,,,unknown,26,D,low,low,verify_location
PL-0043,eMerkury,Ogólnopolska,source_regions,Ogólnopolska,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,https://emerkurysa.pl/manufact...,,,,,unknown,40,C,low,medium,enrich_record
PL-0044,Eurocash Cash & Carry Wągrowiec - Hurtownia spożywcza,Wielkopolskie,source_regions,Wągrowiec,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,https://hurtownie.eurocash.pl/kontakt/mapa-hurtowni/hurtownie.html?provinceId=8&cityId=112,,+48 67 268 52 12,,,unknown,34,D,low,medium,enrich_record
PL-0045,F.H. Alans — Hurtownia Artykułów Tytoniowych,Śląskie,source_regions,Ruda Śląska,vape_wholesale,wholesaler | tobacco_retailer,cigarettes | vape | tobacco,B2B | B2C,https://alans.pl,,32 240 22 26,,,unknown,40,C,low,medium,enrich_record
PL-0046,Fhu Patryk Koksztys,Ogólnopolska,source_regions,Jelenia Góra,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,tobacco,B2B | B2C,,,,,,unknown,33,D,low,low,enrich_record
PL-0047,Firma Handlowa Mariusz Kawa,Małopolskie,source_regions,Tarnów,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,http://www.squashtarnow.pl,,+48 14 629 52 52,,,unknown,34,D,low,medium,enrich_record
PL-0048,FLAJ | Sklep i Hurtownia w Augustowie,Podlaskie,source_regions,Augustów,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,https://flaj.com.pl,,+48 87 644 53 58,,,unknown,34,D,low,medium,enrich_record
PL-0049,Fortrade,Ogólnopolska,source_regions,,traditional_or_specialist_wholesale,wholesaler,injector_ecosystem | injector_machines,B2C,https://fortrade.pl,,,,,confirmed_or_core,42,C,low,medium,enrich_record
PL-0050,Frega Hurtownia Papierosów Oddział Tarnów,Małopolskie,source_regions,Tarnów,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,http://frega.com.pl,,+48 14 626 87 17,,,unknown,34,D,low,medium,enrich_record
PL-0051,Gmochowski Jacek — Hurtownia art. tytoniowych,Ogólnopolska,source_regions,Wrocław,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,tobacco,B2B | B2C,https://po-godzinach.pl/firmy/...,,,,,unknown,38,D,low,medium,enrich_record
PL-0052,Hero Sp. z o.o. PW. Hurtownia nabiałowo - spożywcza,Kujawsko-pomorskie,source_regions,Nakło Nad Notecią,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,http://www.hurtowniahero.pl,,+48 52 385 42 04,,,unknown,34,D,low,medium,enrich_record
PL-0053,Hookahteka.com,Ogólnopolska,inferred_nationwide,Ogólnopolska,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,https://hookahteka.com/wspolpraca-hurtowa,,,,,unknown,34,D,low,low,enrich_record
PL-0054,Hurtownia Centrum Wiesław Sacharski,Mazowieckie,source_regions,Ostrołęka,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,https://centrum-ws.pl,,+48 29 766 42 22,,,unknown,34,D,low,medium,enrich_record
PL-0055,Hurtownia Kaziool,Ogólnopolska,source_regions,,traditional_or_specialist_wholesale,wholesaler,injector_ecosystem | injector_machines | smoking_accessories | cigarettes | tobacco,B2B,https://kaziool.pl,,,,,confirmed_or_core,54,C,medium,medium,enrich_record
PL-0056,Hurtownia Papiernicza GRAFIT,Kujawsko-pomorskie,source_regions,Inowrocław,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,http://hpgrafit.pl,,+48 52 391 24 17,,,unknown,34,D,low,medium,enrich_record
PL-0057,Hurtownia Papierosów Grażyna Baltadzi,Dolnośląskie,source_regions,Lubin,traditional_or_specialist_wholesale,wholesaler,cigarettes | tobacco,,https://papierosy.lubin.pl,,,,,unknown,22,D,low,low,enrich_record
PL-0058,Hurtownia Papierosów Jacek,Pomorskie,source_regions,Gdynia,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,smoking_accessories | fmcg | cigarettes | tobacco,B2B | B2C,https://hpjacek.pl,,+48 58 620 70 55,,,unknown,40,C,low,medium,enrich_record
PL-0059,Hurtownia Papierosów Mars,Lubelskie,source_regions,Lublin,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,cigarettes | tobacco,B2B | B2C,https://yelp.com/biz/hurtownia...,,,,,unknown,34,D,low,medium,enrich_record
PL-0060,Hurtownia Papierosów Śląsk i Zagłębie,Śląskie,source_regions,"Katowice, Sosnowiec, Dąbrowa Górnicza, Siemianowice, Czeladź, Będzin",vape_wholesale,wholesaler | tobacco_retailer,cigarettes | vape | tobacco,B2B | B2C,https://hurtownia-papierosow.pl,,+48 500 804 824,,,unknown,40,C,low,medium,enrich_record
PL-0061,Huzark,Nieustalony,unknown,,manufacturer,wholesaler | manufacturer,injector_ecosystem | injector_machines | smoking_accessories | cigarette_tubes | tobacco,B2B,https://huzark.com,,,,,confirmed_or_core,62,B,medium,medium,find_sales_email
PL-0062,i-Want! (Hurtownia i-Want!),Ogólnopolska,source_regions,,traditional_or_specialist_wholesale,retailer | wholesaler,injector_ecosystem | injector_machines,B2B | B2C,https://i-want.pl,,,,,confirmed_or_core,52,C,medium,medium,enrich_record
PL-0063,Irba — Zakład Obrotu Towarowego,Dolnośląskie,source_regions,Jelenia Góra,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,cigarettes | tobacco,B2B | B2C,https://gowork.pl/dyl-jaroslaw...,,,,,unknown,34,D,low,medium,enrich_record
PL-0064,JABA Firma Handlowa,Pomorskie,source_regions,,traditional_or_specialist_wholesale,distributor,smoking_accessories | tobacco,B2B,,jbalcer352@gmail.com,604 680 xxx,,,unknown,35,D,low,low,enrich_record
PL-0065,JAR — Hurtownia Papierosów i Chemii Gospodarczej,Lubelskie,source_regions,Lublin,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,fmcg | cigarettes | tobacco,B2B | B2C,https://w-lubelskie.pl/jar-hur...,,,,,unknown,34,D,low,medium,enrich_record
PL-0066,JOLBEX Firma Handlowa Zygmunt Wangler,Świętokrzyskie,source_regions,Skarżysko-Kamienna,traditional_or_specialist_wholesale,wholesaler,tobacco,B2B,,,,,,unknown,20,D,low,low,enrich_record
PL-0067,JUKA,Nieustalony,unknown,,vape_wholesale,wholesaler,smoking_accessories | vape,B2B,,,,,,unknown,17,D,low,low,verify_location
PL-0068,JUKA AKCESORIA TYTONIOWE JACEK MULARCZYK,Pomorskie,source_regions,Gdańsk,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,https://jukaakcesoria.pl,,+48 723 179 629,,,unknown,34,D,low,medium,enrich_record
PL-0069,KDWT S.A.,Opolskie,source_regions,Opole,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,tobacco,B2B | B2C,https://biznesfinder.pl/opole/...,,,,,unknown,34,D,low,medium,enrich_record
PL-0070,KentDruk (P.W. Kentdruk),Małopolskie,source_regions,Kęty,manufacturer,wholesaler | manufacturer,injector_ecosystem | injector_machines | smoking_accessories | cigarette_tubes | filters | tobacco,,https://kentdruk.pl,biuro@kentdruk.pl,+48 33 845 30 10,,,likely,60,B,medium,high,sales_outreach
PL-0071,King Hurt — HQ + Branches,Zachodniopomorskie,source_regions,Szczecin,traditional_or_specialist_wholesale,wholesaler,smoking_accessories | injector_ecosystem | injector_machines | cigarettes | cigarette_tubes | tobacco,B2B,https://kinghurt.pl,bok@kinghurt.pl,+48 609 641 400,,,confirmed_or_core,65,B,high,high,sales_outreach
PL-0072,KIREX BIS PHU M. Kycia,Świętokrzyskie,source_regions,Starachowice,traditional_or_specialist_wholesale,wholesaler,tobacco,B2B,,,,,,unknown,20,D,low,low,enrich_record
PL-0073,Lever Hurtownia Alkoholu i Papierosów,Lubelskie,source_regions,Kraśnik,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,https://leverkrasnik.pl,,+48 81 825 02 17,,,unknown,34,D,low,medium,enrich_record
PL-0074,Lima S.A.,Ogólnopolska,source_regions,"Nationwide (Hq Warsaw, Branches Białystok, Jelenia Góra, Wrocław, Bydgoszcz, Lublin, Gorzów Wielkopolski (Marcinkowskiego 14E, Łódź, Kraków, Warsaw, Opole, Rzeszów, Białystok, Gdańsk, Katowice, Kielce, Olsztyn, Poznań, Koszalin",traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,fmcg | cigarettes | tobacco,B2B | B2C,https://lima-sa.pl,,+48 785 156 005,,,unknown,45,C,medium,medium,enrich_record
PL-0075,LokiVape E-papierosy Vape Shop Ełk,Podlaskie,source_regions,Ełk,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,https://www.lokivape.com/sklepy/lokivape-elk-ul-armii-krajowej-9-U11,,+48 690 527 835,,,unknown,34,D,low,medium,enrich_record
PL-0076,Lubelskie Zakłady Tytoniowe (LZT),Lubelskie,source_regions,Lublin,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,tobacco,B2B | B2C,https://lubelskietytonie.pl,,+48 789 477 907,,,unknown,39,D,low,medium,enrich_record
PL-0077,Markowe cygara,Świętokrzyskie,source_regions,Radom,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,https://markowecygara.pl,,+48 570 305 007,,,unknown,34,D,low,medium,enrich_record
PL-0078,MATPIO Mariusz Wieliczko,Lubelskie,source_regions,,traditional_or_specialist_wholesale,distributor,smoking_accessories | tobacco,B2B,,wieli@o2.pl,609 774 7xx,,,unknown,35,D,low,low,enrich_record
PL-0079,Mewa Hurtownia Marciniak Jerzy,Mazowieckie,source_regions,Mińsk Mazowiecki,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,cigarettes | tobacco,B2B | B2C,https://minskmaz.com/firmy/pap...,,,,,unknown,34,D,low,medium,enrich_record
PL-0080,MILO S.A.,Świętokrzyskie,source_regions,Kielce,traditional_or_specialist_wholesale,wholesaler,fmcg | tobacco,B2B,,,,,,unknown,20,D,low,low,enrich_record
PL-0081,Milo Sp. z o.o.,Dolnośląskie,source_regions,Lubin,traditional_or_specialist_wholesale,wholesaler,tobacco,,https://milo.lubin.pl,,,,,unknown,22,D,low,low,enrich_record
PL-0082,Mona hurtownia papierosów,Małopolskie,source_regions,Kraków,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,http://www.mona.com.pl,,+48 697 590 090,,,unknown,34,D,low,medium,enrich_record
PL-0083,Noban Sp. z o.o.,Ogólnopolska,source_regions,Wrocław,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,fmcg | cigarettes,B2B | B2C,,,,,,unknown,32,D,low,low,enrich_record
PL-0084,OGRODNICZAK ARTUR Hurtownia,Świętokrzyskie,source_regions,Skarżysko-Kamienna,traditional_or_specialist_wholesale,wholesaler,tobacco,B2B,,,,,,unknown,20,D,low,low,enrich_record
PL-0085,Orion Tobacco Poland Sp. z o.o.,Mazowieckie,source_regions,Goszczyn,manufacturer,wholesaler | manufacturer,injector_ecosystem | injector_machines | smoking_accessories | cigarette_tubes | rolling_papers | filters | tobacco,B2B | B2C,https://orion-orion.pl,orion@orion.mail.pl,,,,confirmed_or_core,74,B,high,high,sales_outreach
PL-0086,P.H Mars sp.j,Dolnośląskie,source_regions,Kamienna Góra,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,https://hurtowniamars.pl,,+48 75 744 38 77,,,unknown,34,D,low,medium,enrich_record
PL-0087,P.H.U. TRANS,Lubelskie,source_regions,,traditional_or_specialist_wholesale,distributor,smoking_accessories | tobacco,B2B,,phnatiuk@wp.pl,504 392 4xx,,,unknown,35,D,low,low,enrich_record
PL-0088,Pavolt.pl,Ogólnopolska,source_regions,Ogólnopolska,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,injector_machines,B2B | B2C,https://pavolt.pl/nabijarki-c-...,,,,,likely,46,C,medium,medium,enrich_record
PL-0089,PGT — Polska Grupa Tytoniowa,Zachodniopomorskie,source_regions,Myślibórz,vape_wholesale,wholesaler,smoking_accessories | injector_ecosystem | injector_machines | cigarettes | shisha_bongs | vape | cigarette_tubes | tobacco,B2B | B2C,https://polskagt.pl,biuro@polskagt.pl,+48 502 399 832,4980260426,,confirmed_or_core,70,B,high,high,sales_outreach
PL-0090,PHU Andrzej...,Ogólnopolska,source_regions,Jelenia Góra,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,tobacco,B2B | B2C,,,,,,unknown,33,D,low,low,enrich_record
PL-0091,PHU Mars,Dolnośląskie,source_regions,Lubin,vape_wholesale,wholesaler,smoking_accessories | tobacco | vape | fmcg | cigarettes,,https://mars.lubin.pl,,,,,unknown,24,D,low,low,enrich_record
PL-0092,PHUP Gniezno Szeszycki sp.k.,Wielkopolskie,source_regions,Gniezno,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,http://www.phupgniezno.pl,,+48 512 984 347,,,unknown,34,D,low,medium,enrich_record
PL-0093,Pol-Ta,Dolnośląskie,source_regions,Jelcz-Laskowice,traditional_or_specialist_wholesale,wholesaler,tobacco,,https://pol-ta.pl,,,,,unknown,22,D,low,low,enrich_record
PL-0094,Polska Grupa Tytoniowa,Kujawsko-pomorskie,source_regions,Bydgoszcz,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,http://www.b2b.katalogpgt.pl,,+48 502 494 942,,,unknown,34,D,low,medium,enrich_record
PL-0095,Polski Tytoń PHP S.A.,Ogólnopolska,source_regions,"Nationwide (Białystok, Bydgoszcz, Łódź, Warszawa, Lublin, +12 More)",vape_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | cigarettes | vape | tobacco,B2B | B2C,https://polskityton.pl,sekretariat@polskityton.pl,+48 48 341 32 00,9482622620,0000386390499,unknown,53,C,medium,high,enrich_record
PL-0096,Promotorzy Sp. z o.o.,Ogólnopolska,source_regions,Ogólnokrajowy,manufacturer,wholesaler | manufacturer,smoking_accessories | ryo | injector_ecosystem | injector_machines | vape | cigarette_tubes | rolling_papers | tobacco | cigarettes,B2B | B2C,https://promotorzy.pl,,,,,likely,70,B,high,medium,find_sales_email
PL-0097,Rafani 2 Tomasz Kitkowski,Warmińsko-mazurskie,inferred_from_city,Olsztyn (Feliksa Nowowiejskiego 1/110),traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,https://m.yelp.com/search?find_desc=Tobacco+Shops&find_loc=Olsztyn%2C+WN,,,,,unknown,30,D,low,low,enrich_record
PL-0098,Redo Sp. z o.o. Hurtownia alkoholu,Podlaskie,source_regions,Augustów,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,"http://www.redo.pl/?pl,kontakt",,+48 87 643 23 62,,,unknown,34,D,low,medium,enrich_record
PL-0099,ROCH — Hurtownia Papierosów i Kart GSM,Małopolskie,source_regions,Kraków,traditional_or_specialist_wholesale,wholesaler | tobacco_retailer,cigarettes | tobacco,B2B | B2C,https://roch.krakow.pl,,+48 12 416 39 16,,,unknown,39,D,low,medium,enrich_record
PL-0100,SAT Tomasz Sromek,Małopolskie,source_regions,Nowy Sącz,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,http://hurtowniasat.pl,,+48 18 444 40 30,,,unknown,34,D,low,medium,enrich_record
PL-0101,Selgros,Śląskie,source_regions,Bytom,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,http://www.selgros.pl,,+48 32 768 80 00,,,unknown,34,D,low,medium,enrich_record
PL-0102,Sherlock Trafika,Mazowieckie,source_regions,Warszawa,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,http://sherlocktrafika.pl,,+48 606 163 537,,,unknown,34,D,low,medium,enrich_record
PL-0103,"Sklep po schodkach - piwo, wino, tanie papierosy",Mazowieckie,source_regions,Warszawa,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,smoking_accessories | tobacco,B2B | B2C,http://www.profinanceline.pl,,+48 518 985 675,,,unknown,34,D,low,medium,enrich_record
PL-0104,SklepTytoniowy.pl,Ogólnopolska,source_regions,,traditional_or_specialist_wholesale,retailer | wholesaler | tobacco_retailer,injector_machines | cigarettes | powermatic | tobacco,B2B | B2C,https://skleptytoniowy.pl,,,,,likely,50,C,medium,medium,enrich_record
